,mrna,rpf,te,note,gene
YJL136C,3095.0,5100.8,0.720784125,Protein component of the small (40S) ribosomal subunit; nearly identical to Rps21Ap and has similarity to rat S21 ribosomal protein,RPS21B
YJR094W-A,3441.69,5084.43,0.56296889,"Protein component of the large (60S) ribosomal subunit, identical to Rpl43Ap and has similarity to rat L37a ribosomal protein",RPL43B
YDL081C,3761.7,5038.8,0.421695397,"Ribosomal stalk protein P1 alpha, involved in the interaction between translational elongation factors and the ribosome; accumulation of P1 in the cytoplasm is regulated by phosphorylation and interaction with the P2 stalk component",RPP1A
YKL056C,4087.85,4779.58,0.22554159,Protein that associates with ribosomes; homolog of translationally controlled tumor protein; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and relocates to the mitochondrial outer surface upon oxidative stress,TMA19
YKL180W,3147.71,4772.98,0.60058766,"Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl17Bp and has similarity to E. coli L22 and rat L17 ribosomal proteins; copurifies with the Dam1 complex (aka DASH complex)",RPL17A
YML073C,3007.36,4699.12,0.643893032,"N-terminally acetylated protein component of the large (60S) ribosomal subunit, has similarity to Rpl6Bp and to rat L6 ribosomal protein; binds to 5.8S rRNA",RPL6A
YGL008C,4850.65,4668.17,-0.055320985,"Plasma membrane H+-ATPase, pumps protons out of the cell; major regulator of cytoplasmic pH and plasma membrane potential; part of the P2 subgroup of cation-transporting ATPases; Hsp30p plays a role in Pma1p regulation",PMA1
YOR293W,3246.73,4653.95,0.519468297,Protein component of the small (40S) ribosomal subunit; nearly identical to Rps10Bp and has similarity to rat ribosomal protein S10,RPS10A
YGR034W,3302.88,4642.44,0.49115871,"Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl26Ap and has similarity to E. coli L24 and rat L26 ribosomal proteins; binds to 5.8S rRNA",RPL26B
YDR500C,2685.07,4615.46,0.781514741,"Protein component of the large (60S) ribosomal subunit, has similarity to Rpl37Ap and to rat L37 ribosomal protein",RPL37B
YCR024C-A,2004.25,4581.4,1.192726055,"Small single-membrane span proteolipid that functions as a regulatory subunit of the plasma membrane H(+)-ATPase Pma1p, forms unique helix and positively charged cytoplasmic domain that is able to specifically segregate phosphatidylserines",PMP1
YKL096W-A,1944.58,4531.66,1.220581035,"Covalently linked cell wall mannoprotein, major constituent of the cell wall; plays a role in stabilizing the cell wall; involved in low pH resistance; precursor is GPI-anchored",CWP2
YLR150W,2489.79,4497.65,0.853147333,Protein required for optimal translation under nutrient stress; perturbs association of Yef3p with ribosomes; involved in TOR signaling; binds G4 quadruplex and purine motif triplex nucleic acid; helps maintain telomere structure,STM1
YMR116C,4054.26,4446.18,0.133127744,G-protein beta subunit and guanine nucleotide dissociation inhibitor for Gpa2p; ortholog of RACK1 that inhibits translation; core component of the small (40S) ribosomal subunit; represses Gcn4p in the absence of amino acid starvation,ASC1
YDL130W,3309.45,4439.2,0.423708234,"Ribosomal protein P1 beta, component of the ribosomal stalk, which is involved in interaction of translational elongation factors with ribosome; accumulation is regulated by phosphorylation and interaction with the P2 stalk component",RPP1B
YLR249W,4832.59,4313.08,-0.164078125,"Gamma subunit of translational elongation factor eEF1B, stimulates the binding of aminoacyl-tRNA (AA-tRNA) to ribosomes by releasing eEF1A (Tef1p/Tef2p) from the ribosomal complex; contains two ABC cassettes; binds and hydrolyzes ATP",YEF3
YOR096W,3032.63,4284.62,0.498597768,"Protein component of the small (40S) ribosomal subunit, nearly identical to Rps7Bp; interacts with Kti11p; deletion causes hypersensitivity to zymocin; has similarity to rat S7 and Xenopus S8 ribosomal proteins",RPS7A
YOR167C,2914.53,3724.22,0.353675048,Protein component of the small (40S) ribosomal subunit; nearly identical to Rps28Bp and has similarity to rat S28 ribosomal protein,RPS28A
YML063W,3595.54,3724.11,0.050687227,Ribosomal protein 10 (rp10) of the small (40S) subunit; nearly identical to Rps1Ap and has similarity to rat S3a ribosomal protein,RPS1B
YLR355C,2008.54,3527.45,0.812478441,"Acetohydroxyacid reductoisomerase, mitochondrial protein involved in branched-chain amino acid biosynthesis, also required for maintenance of wild-type mitochondrial DNA and found in mitochondrial nucleoids",ILV5
YLR333C,2015.76,3518.61,0.803681737,Protein component of the small (40S) ribosomal subunit; nearly identical to Rps25Ap and has similarity to rat S25 ribosomal protein,RPS25B
YFL039C,2501.19,3428.0,0.454752455,"Actin, structural protein involved in cell polarization, endocytosis, and other cytoskeletal functions",ACT1
YEL017C-A,1840.54,3359.63,0.868173252,Proteolipid associated with plasma membrane H(+)-ATPase (Pma1p); regulates plasma membrane H(+)-ATPase activity; nearly identical to PMP1,PMP2
YLR264W,1580.21,3274.89,1.051330153,Protein component of the small (40S) ribosomal subunit; nearly identical to Rps28Ap and has similarity to rat S28 ribosomal protein,RPS28B
YHR193C,1393.52,3101.73,1.154339399,"Alpha subunit of the heteromeric nascent polypeptide-associated complex (NAC) involved in protein sorting and translocation, associated with cytoplasmic ribosomes",EGD2
YGR214W,2246.23,3071.42,0.451400148,"Protein component of the small (40S) ribosomal subunit, nearly identical to Rps0Bp; required for maturation of 18S rRNA along with Rps0Bp; deletion of either RPS0 gene reduces growth rate, deletion of both genes is lethal",RPS0A
YIL053W,2050.53,3042.95,0.569473778,"Constitutively expressed isoform of DL-glycerol-3-phosphatase; involved in glycerol biosynthesis, induced in response to both anaerobic and, along with the Hor2p/Gpp2p isoform, osmotic stress",RHR2
YIL133C,2098.29,3008.04,0.519609668,"N-terminally acetylated protein component of the large (60S) ribosomal subunit, binds to 5.8 S rRNA; has similarity to Rpl16Bp, E. coli L13 and rat L13a ribosomal proteins; transcriptionally regulated by Rap1p",RPL16A
YKR057W,2136.06,2915.94,0.449008863,Protein component of the small (40S) ribosomal subunit; nearly identical to Rps21Bp and has similarity to rat S21 ribosomal protein,RPS21A
YJR104C,1516.83,2888.37,0.92919616,Cytosolic copper-zinc superoxide dismutase; some mutations are analogous to those that cause ALS (amyotrophic lateral sclerosis) in humans,SOD1
YBR196C,2165.95,2752.87,0.345936543,"Glycolytic enzyme phosphoglucose isomerase, catalyzes the interconversion of glucose-6-phosphate and fructose-6-phosphate; required for cell cycle progression and completion of the gluconeogenic events of sporulation",PGI1
YLR441C,2460.6,2682.3,0.124460454,Ribosomal protein 10 (rp10) of the small (40S) subunit; nearly identical to Rps1Bp and has similarity to rat S3a ribosomal protein,RPS1A
YPL061W,1778.98,2623.68,0.560541479,"Cytosolic aldehyde dehydrogenase, activated by Mg2+ and utilizes NADP+ as the preferred coenzyme; required for conversion of acetaldehyde to acetate; constitutively expressed; locates to the mitochondrial outer surface upon oxidative stress",ALD6
YPL037C,1329.39,2593.18,0.963957944,"Subunit beta1 of the nascent polypeptide-associated complex (NAC) involved in protein targeting, associated with cytoplasmic ribosomes; enhances DNA binding of the Gal4p activator; homolog of human BTF3b",EGD1
YBR011C,1546.48,2538.92,0.715226761,"Cytoplasmic inorganic pyrophosphatase (PPase), homodimer that catalyzes the rapid exchange of oxygens from Pi with water, highly expressed and essential for viability, active-site residues show identity to those from E. coli PPase",IPP1
YER131W,1718.0,2534.18,0.560788965,Protein component of the small (40S) ribosomal subunit; nearly identical to Rps26Ap and has similarity to rat S26 ribosomal protein,RPS26B
YKL156W,1301.31,2497.36,0.94043912,Protein component of the small (40S) ribosomal subunit; nearly identical to Rps27Bp and has similarity to rat S27 ribosomal protein,RPS27A
YDR471W,1654.25,2446.98,0.56482503,"Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl27Ap and has similarity to rat L27 ribosomal protein",RPL27B
YOR234C,1588.56,2420.65,0.607674914,"Ribosomal protein L37 of the large (60S) ribosomal subunit, nearly identical to Rpl33Ap and has similarity to rat L35a; rpl33b null mutant exhibits normal growth while rpl33a rpl33b double null mutant is inviable",RPL33B
YLL050C,1405.91,2367.77,0.752024705,"Cofilin, promotes actin filament depolarization in a pH-dependent manner; binds both actin monomers and filaments and severs filaments; thought to be regulated by phosphorylation at SER4; ubiquitous and essential in eukaryotes",COF1
YIL051C,1183.38,2287.22,0.950681723,Mitochondrial protein required for transamination of isoleucine but not of valine or leucine; may regulate specificity of branched-chain transaminases Bat1p and Bat2p; interacts genetically with mitochondrial ribosomal protein genes,MMF1
YDL055C,1666.28,2282.71,0.454116738,"GDP-mannose pyrophosphorylase (mannose-1-phosphate guanyltransferase), synthesizes GDP-mannose from GTP and mannose-1-phosphate in cell wall biosynthesis; required for normal cell wall structure",PSA1
YKL081W,1931.98,2281.88,0.240142765,"Gamma subunit of translational elongation factor eEF1B, stimulates the binding of aminoacyl-tRNA (AA-tRNA) to ribosomes by releasing eEF1A (Tef1p/Tef2p) from the ribosomal complex",TEF4
YJL177W,1466.08,2188.26,0.577820334,"Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl17Ap and has similarity to E. coli L22 and rat L17 ribosomal proteins",RPL17B
YER072W,1324.1,2061.64,0.638780351,"Subunit of the vacuolar transporter chaperone (VTC) complex involved in membrane trafficking, vacuolar polyphosphate accumulation, microautophagy and non-autophagic vacuolar fusion; also has mRNA binding activity",VTC1
YHR039C-A,1055.42,2001.75,0.923444579,"Subunit G of the eight-subunit V1 peripheral membrane domain of the vacuolar H+-ATPase (V-ATPase), an electrogenic proton pump found throughout the endomembrane system; involved in vacuolar acidification",VMA10
YDR226W,1238.83,1991.75,0.685058349,"Adenylate kinase, required for purine metabolism; localized to the cytoplasm and the mitochondria; lacks cleavable signal sequence",ADK1
YPL106C,1434.31,1982.94,0.467284155,ATPase that is a component of the heat shock protein Hsp90 chaperone complex; binds unfolded proteins; member of the heat shock protein 70 (HSP70) family; localized to the cytoplasm,SSE1
YGL253W,1540.96,1964.25,0.350149147,Hexokinase isoenzyme 2 that catalyzes phosphorylation of glucose in the cytosol; predominant hexokinase during growth on glucose; functions in the nucleus to repress expression of HXK1 and GLK1 and to induce expression of its own gene,HXK2
YLR406C,1140.17,1947.41,0.772307708,"Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl31Ap and has similarity to rat L31 ribosomal protein; associates with the karyopherin Sxm1p; loss of both Rpl31p and Rpl39p confers lethality",RPL31B
YLR293C,1317.19,1925.27,0.547597319,"Ran GTPase, GTP binding protein (mammalian Ranp homolog) involved in the maintenance of nuclear organization, RNA processing and transport; regulated by Srm1p, Rna1p, Yrb1p, Yrb2p, Yrp4p, Yrb30p, Cse1p and Kap95p; yeast Gsp2p homolog",GSP1
YGR037C,895.52,1918.72,1.099346636,"Acyl-CoA-binding protein, transports newly synthesized acyl-CoA esters from fatty acid synthetase (Fas1p-Fas2p) to acyl-CoA-consuming processes; subject to starvation-induced, Grh1p-mediated unconventional secretion",ACB1
YNL135C,1035.18,1892.81,0.870647951,"Peptidyl-prolyl cis-trans isomerase (PPIase), binds to the drugs FK506 and rapamycin; also binds to the nonhistone chromatin binding protein Hmo1p and may regulate its assembly or function",FPR1
YEL027W,1389.21,1877.29,0.434386831,Proteolipid subunit of the vacuolar H(+)-ATPase V0 sector (subunit c; dicyclohexylcarbodiimide binding subunit); required for vacuolar acidification and important for copper and iron metal ion homeostasis,VMA3
YDR224C,891.62,1862.54,1.062770526,"Histone H2B, core histone protein required for chromatin assembly and chromosome function; nearly identical to HTB2; Rad6p-Bre1p-Lge1p mediated ubiquitination regulates transcriptional activation, meiotic DSB formation and H3 methylation",HTB1
YJL158C,651.64,1860.58,1.513605354,Mannose-containing glycoprotein constituent of the cell wall; member of the PIR (proteins with internal repeats) family,CIS3
YBR078W,1107.35,1832.61,0.72678851,"GPI-anchored protein of unknown function, has a possible role in apical bud growth; GPI-anchoring on the plasma membrane crucial to function; phosphorylated in mitochondria; similar to Sps2p and Pst1p",ECM33
YBL002W,914.76,1832.33,1.002214167,"Histone H2B, core histone protein required for chromatin assembly and chromosome function; nearly identical to HTB1; Rad6p-Bre1p-Lge1p mediated ubiquitination regulates transcriptional activation, meiotic DSB formation and H3 methylation",HTB2
YNL145W,664.44,1769.01,1.412731371,"Mating pheromone a-factor, made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA1",MFA2
YOR122C,1220.69,1757.82,0.526090479,"Profilin, binds actin, phosphatidylinositol 4,5-bisphosphate, and polyproline regions; involved in cytoskeleton organization; required for normal timing of actin polymerization in response to thermal stress",PFY1
YER177W,1122.51,1724.2,0.619198833,"14-3-3 protein, major isoform; controls proteome at post-transcriptional level, binds proteins and DNA, involved in regulation of many processes including exocytosis, vesicle transport, Ras/MAPK signaling, and rapamycin-sensitive signaling",BMH1
YOR332W,774.58,1682.95,1.119506159,"Subunit E of the eight-subunit V1 peripheral membrane domain of the vacuolar H+-ATPase (V-ATPase), an electrogenic proton pump found throughout the endomembrane system; required for the V1 domain to assemble onto the vacuolar membrane",VMA4
YMR251W-A,783.02,1676.93,1.098701405,Protein of unknown function; overexpression suppresses Ca2+ sensitivity of mutants lacking inositol phosphorylceramide mannosyltransferases Csg1p and Csh1p; transcription is induced under hyperosmotic stress and repressed by alpha factor,HOR7
YJR045C,1144.12,1641.43,0.520714851,"Hsp70 family ATPase, constituent of the import motor component of the Translocase of the Inner Mitochondrial membrane (TIM23 complex); involved in protein translocation and folding; subunit of SceI endonuclease",SSC1
YOR298C-A,888.22,1622.52,0.8692473,Transcriptional coactivator that bridges the DNA-binding region of Gcn4p and TATA-binding protein Spt15p; suppressor of frameshift mutations,MBF1
YER043C,1099.26,1582.13,0.525335491,"S-adenosyl-L-homocysteine hydrolase, catabolizes S-adenosyl-L-homocysteine which is formed after donation of the activated methyl group of S-adenosyl-L-methionine (AdoMet) to an acceptor",SAH1
YOR020C,1023.69,1577.75,0.624089728,"Mitochondrial matrix co-chaperonin that inhibits the ATPase activity of Hsp60p, a mitochondrial chaperonin; involved in protein folding and sorting in the mitochondria; 10 kD heat shock protein with similarity to E. coli groES",HSP10
YNL055C,847.85,1570.14,0.889012248,"Mitochondrial porin (voltage-dependent anion channel), outer membrane protein required for the maintenance of mitochondrial osmotic stability and mitochondrial membrane permeability; phosphorylated",POR1
YDR002W,799.94,1427.73,0.835759476,"Ran GTPase binding protein; involved in nuclear protein import and RNA export, ubiquitin-mediated protein degradation during the cell cycle; shuttles between the nucleus and cytoplasm; is essential; homolog of human RanBP1",YRB1
YKR042W,829.11,1389.08,0.744494264,"Mitochondrial outer membrane and cell wall localized SUN family member involved in cell wall biogenesis and required for mitochondrial autophagy; involved in the oxidative stress response, life span during starvation, and cell death",UTH1
YGR209C,795.9,1378.88,0.792837827,"Cytoplasmic thioredoxin isoenzyme of the thioredoxin system which protects cells against oxidative and reductive stress, forms LMA1 complex with Pbi2p, acts as a cofactor for Tsa1p, required for ER-Golgi transport and vacuole inheritance",TRX2
YLR367W,769.63,1336.41,0.796125742,Protein component of the small (40S) ribosomal subunit; nearly identical to Rps22Ap and has similarity to E. coli S8 and rat S15a ribosomal proteins,RPS22B
YBR082C,527.85,1311.48,1.312995887,"Ubiquitin-conjugating enzyme (E2), mediates degradation of abnormal or excess proteins, including calmodulin and histone H3; interacts with many SCF ubiquitin protein ligases; component of the cellular stress response",UBC4
YPR036W-A,363.1,1296.2,1.835849504,Protein of unknown function; transcription is regulated by Pdr1p,YPR036W-A
YLR058C,777.62,1294.12,0.734834171,"Cytosolic serine hydroxymethyltransferase, converts serine to glycine plus 5,10 methylenetetrahydrofolate; major isoform involved in generating precursors for purine, pyrimidine, amino acid, and lipid biosynthesis",SHM2
YER165W,1011.24,1290.75,0.352084162,"Poly(A) binding protein, part of the 3'-end RNA-processing complex, mediates interactions between the 5' cap structure and the 3' mRNA poly(A) tail, involved in control of poly(A) tail length, interacts with translation factor eIF-4G",PAB1
YLR354C,911.53,1278.96,0.4886091,"Transaldolase, enzyme in the non-oxidative pentose phosphate pathway; converts sedoheptulose 7-phosphate and glyceraldehyde 3-phosphate to erythrose 4-phosphate and fructose 6-phosphate",TAL1
YML123C,1190.63,1267.99,0.090818217,High-affinity inorganic phosphate (Pi) transporter and low-affinity manganese transporter; regulated by Pho4p and Spt7p; mutation confers resistance to arsenate; exit from the ER during maturation requires Pho86p,PHO84
YLR259C,940.14,1258.24,0.420459617,Tetradecameric mitochondrial chaperonin required for ATP-dependent folding of precursor polypeptides and complex assembly; prevents aggregation and mediates protein refolding after heat shock; role in mtDNA transmission; phosphorylated,HSP60
YDR033W,1054.72,1253.52,0.249124962,"Protein that localizes primarily to the plasma membrane, also found at the nuclear envelope; the authentic, non-tagged protein is detected in mitochondria in a phosphorylated state; has similarity to Hsp30p and Yro2p",MRH1
YDR086C,801.68,1235.81,0.624358565,"Subunit of the Sec61p translocation complex (Sec61p-Sss1p-Sbh1p) that forms a channel for passage of secretory proteins through the endoplasmic reticulum membrane, and of the Ssh1p complex (Ssh1p-Sbh2p-Sss1p); interacts with Ost4p and Wbp1p",SSS1
YHR183W,815.87,1235.53,0.598718843,"6-phosphogluconate dehydrogenase (decarboxylating), catalyzes an NADPH regenerating reaction in the pentose phosphate pathway; required for growth on D-glucono-delta-lactone and adaptation to oxidative stress",GND1
YLR262C-A,441.8,1221.27,1.466916865,"Protein of unknown that associates with ribosomes; null mutant exhibits translation defects, altered polyribosome profiles, and resistance to the translation inhibitor anisomcyin",TMA7
YDR276C,684.37,1213.36,0.826159233,"Small plasma membrane protein related to a family of plant polypeptides that are overexpressed under high salt concentration or low temperature, not essential for viability, deletion causes hyperpolarization of the plasma membrane potential",PMP3
YGR282C,931.2,1211.42,0.379536172,"Endo-beta-1,3-glucanase, major protein of the cell wall, involved in cell wall maintenance",BGL2
YMR307W,1180.96,1208.29,0.033006655,"Beta-1,3-glucanosyltransferase, required for cell wall assembly and also has a role in transcriptional silencing; localizes to the cell surface via a glycosylphosphatidylinositol (GPI) anchor; also found at the nuclear periphery",GAS1
YDR510W,591.67,1205.93,1.027281515,"Ubiquitin-like protein of the SUMO family, conjugated to lysine residues of target proteins; regulates chromatid cohesion, chromosome segregation, APC-mediated proteolysis, DNA replication and septin ring dynamics; phosphorylated at Ser2",SMT3
YML058W,509.09,1203.71,1.241495225,Ribonucleotide reductase inhibitor involved in regulating dNTP production; regulated by Mec1p and Rad53p during DNA damage and S phase,SML1
YHR179W,734.77,1187.23,0.692234824,"Conserved NADPH oxidoreductase containing flavin mononucleotide (FMN), homologous to Oye3p with different ligand binding and catalytic properties; may be involved in sterol metabolism, oxidative stress response, and programmed cell death",OYE2
YGR279C,648.93,1172.5,0.853453154,Cell wall protein with similarity to glucanases; scw4 scw10 double mutants exhibit defects in mating,SCW4
